ID,a01,a02,a03,a06,a08,a10,a11,a13,a14,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a32,a33,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45
a01,0,4,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,4,3
a02,4,0,2,2,1,2,2,3,4,2,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4
a03,3,1,0,4,1,0,0,2,0,2,4,4,0,4,1,2,2,2,1,2,2,2,4,2,0,2,0,1,1,1,0,0
a06,2,2,2,0,2,2,0,2,2,3,2,2,1,2,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,0
a08,3,0,0,2,0,0,0,2,3,2,2,1,0,2,1,2,2,0,1,2,2,2,0,2,1,0,1,2,2,0,2,2
a10,4,2,0,0,0,0,0,3,0,2,2,0,0,2,2,2,0,0,2,0,2,0,0,3,0,2,2,2,3,0,4,2
a11,3,2,1,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
a13,3,2,2,2,2,2,1,0,1,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,4
a14,3,4,0,0,2,0,0,2,0,0,2,0,2,1,0,1,2,0,0,0,2,2,0,0,0,0,3,0,1,0,2,4
a18,3,0,2,3,2,0,1,2,1,0,2,3,2,1,2,2,2,2,2,4,2,2,4,2,2,0,2,2,3,2,2,1
a19,3,2,2,2,2,2,0,4,2,2,0,0,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2,2,0,3,3
a20,2,0,1,2,0,0,1,1,0,3,0,0,0,2,1,1,0,0,2,3,2,1,1,1,2,0,0,1,0,1,2,2
a21,3,3,1,2,1,0,3,3,2,1,2,0,0,1,1,2,0,2,2,1,2,2,1,0,0,2,4,2,2,2,3,3
a22,3,2,4,3,3,0,0,3,0,2,2,3,2,0,3,4,4,2,3,3,3,4,3,3,3,2,2,3,4,3,3,2
a23,3,2,2,3,1,0,0,2,2,2,2,2,0,3,0,2,2,0,2,1,2,2,2,2,2,0,1,0,3,0,3,1
a24,2,2,2,2,3,2,0,3,1,2,2,0,0,3,2,0,2,0,2,2,4,3,0,2,2,2,1,1,2,0,2,2
a25,3,2,3,1,2,0,0,3,2,1,3,1,1,3,2,3,0,1,1,3,3,3,0,2,0,1,2,1,2,2,2,2
a26,4,2,2,0,0,0,1,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,4,1
a27,2,0,2,4,1,0,0,2,0,2,0,2,0,2,2,1,0,0,0,2,2,3,2,2,2,2,0,2,2,1,2,0
a32,2,2,2,2,2,0,0,2,0,3,2,2,0,3,1,2,2,0,2,0,3,4,2,3,3,0,0,2,3,1,0,0
a33,3,3,2,2,2,0,0,3,1,2,3,2,0,2,3,4,3,0,2,2,0,3,2,2,3,0,1,2,2,1,0,1
a35,2,2,2,3,0,0,0,2,3,2,2,0,0,3,2,3,2,0,3,3,3,0,0,4,2,0,0,2,4,0,0,2
a36,3,2,4,3,0,0,0,2,0,4,0,1,0,3,1,1,0,0,3,2,1,1,0,2,2,0,0,2,3,2,2,0
a37,3,2,2,2,3,2,0,3,2,2,3,2,2,3,2,3,2,2,2,3,3,4,2,0,3,0,2,3,3,2,2,2
a38,2,2,2,3,1,0,0,3,0,3,2,2,0,3,2,3,0,0,2,3,3,3,3,3,0,0,0,1,2,0,0,0
a39,4,1,2,1,1,0,1,1,0,1,1,1,2,2,1,1,0,3,2,1,1,2,1,2,1,0,0,2,2,0,3,0
a40,3,2,2,2,2,2,0,3,3,2,2,0,4,1,2,2,2,2,2,1,2,2,1,2,0,0,0,0,2,2,2,2
a41,3,2,0,3,0,0,0,2,0,1,1,0,2,2,2,2,0,0,3,2,2,3,0,2,1,2,1,0,2,0,2,2
a42,3,2,2,3,2,2,0,3,0,3,2,3,2,4,3,2,2,2,2,3,2,4,2,4,0,2,2,2,0,2,3,2
a43,3,3,1,2,0,2,0,3,0,2,2,0,2,2,0,2,2,2,2,2,2,2,0,2,2,0,3,2,3,0,3,3
a44,4,4,2,2,2,3,2,2,2,2,3,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,0,4
a45,4,4,0,2,2,2,0,4,4,2,3,0,2,1,0,3,2,0,0,1,2,3,1,1,0,2,2,1,3,2,4,0
